miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B	experiment
hsa-miR-512-3p	0.196539810843425	6.0618490342117	2.72638229693833	0.00722403558287862	0.0423558269295053	-3.06273577588648	GSE21036
hsa-miR-31-star	-0.453884518824113	6.05724623002473	-3.67091891624734	0.000343096072852675	0.00394252839991938	-0.281401574259493	GSE21036
hsa-miR-936	0.306584149145558	5.99873747225464	3.9677928478138	0.000115487218781901	0.00164444022849657	0.733704525610103	GSE21036
hsa-miR-502-5p	-0.219284254661226	5.80124036268372	-3.00402493721572	0.00315843436604682	0.0228003716896598	-2.31928341250041	GSE21036
hsa-miR-652	-0.168135129010027	5.67125503338781	-3.18447691028329	0.00178838746071445	0.0148089487208453	-1.80227131203645	GSE21036
hsa-miR-517-star	-0.322757223806318	5.66247543703044	-7.46667401528627	8.06215508766106e-12	9.60038573978472e-10	16.515536048133	GSE21036
hsa-miR-593	-0.230277420286717	5.54407163953529	-3.58695356561352	0.000461739416576021	0.00497451208122253	-0.556800640273615	GSE21036
hsa-miR-873	-0.261827628134657	5.53353043906887	-3.58861974724183	0.000459048185455112	0.00495345018723656	-0.551386916207223	GSE21036
hsa-miR-200c	1.54852092232895	7.35188295746628	6.2235791975306	3.18836492990962e-06	0.000614226445733335	4.66158330381614	GSE23022
hsa-miR-20a	1.43209079074907	2.96057576223647	6.20552811028821	3.32207590599423e-06	0.000618143409651069	4.622539531353	GSE23022
hsa-miR-20b	1.50445649819846	2.99922074403127	5.84486486620723	7.60919556930965e-06	0.000974850219248441	3.83382052191494	GSE23022
hsa-miR-106a	1.28239893937414	4.44496973305265	5.40580408376418	2.12669352897915e-05	0.0019325709219735	2.85354632608726	GSE23022
hsa-miR-221	-1.11791771530731	5.20167984369351	-5.3696383546765	2.31650074355068e-05	0.00205474173432312	2.77193898732909	GSE23022
hsa-miR-222	-1.54742620963829	5.46060027883384	-5.34937117952497	2.4303041191065e-05	0.00205474173432312	2.72615487302319	GSE23022
hsa-miR-375	1.97615758910055	3.73456495701139	5.14081759516648	3.9889197629198e-05	0.00293759147576578	2.25302077756383	GSE23022
hsa-miR-182	1.2592300621015	2.5267201720994	5.12643937461378	4.12806405303786e-05	0.00298711301615657	2.22027650317307	GSE23022
hsa-miR-17	1.44187209262693	4.64798529661674	4.972771516012	5.96067604579396e-05	0.00387285361494151	1.86943996930247	GSE23022
hsa-miR-93	1.34245050404498	4.27974198639513	4.88592168468799	7.34118586546461e-05	0.0044131821183543	1.67051827529941	GSE23022
hsa-miR-768-3p	0.741523854111277	5.77379203519306	4.46123581490559	0.000204380051061834	0.00892307317904042	0.693525584003352	GSE23022
hsa-miR-145	-0.527722909460516	8.63385556927775	-4.36721034915963	0.000256574176601794	0.0106655701603352	0.476797397730001	GSE23022
hsa-miR-141	0.503039733696235	1.32695884175281	4.25967833241459	0.00033283036723777	0.0128131493594245	0.22902776784615	GSE23022
hsa-miR-768-5p	0.849427320343412	4.25897227298601	4.16433936703931	0.000419193515640884	0.0152371968592256	0.00956563299607538	GSE23022
hsa-miR-125a-5p	-0.558874794685579	3.8506293969167	-4.12465091675966	0.000461435488713629	0.0163851480910541	-0.0817034585344265	GSE23022
hsa-miR-214	-0.802630001693881	5.67370730300967	-3.94056999289211	0.00071993659720708	0.023345661855491	-0.503991560713107	GSE23022
hsa-miR-378-star	-0.36445326342926	1.06426613197645	-3.84480860362051	0.000906926382595482	0.0277946261960145	-0.722767456617396	GSE23022
hsa-miR-106b	0.758205293430958	1.91486061504486	3.64549655479775	0.00146391608082284	0.0417536648599652	-1.17530670558777	GSE23022
hsa-miR-145-star	-2.24796082560227	6.23016582708223	-8.74572395068106	6.35869705037865e-09	1.94901805389974e-06	10.6126467597179	GSE36803
hsa-miR-221	-1.67378532646123	11.0257222169341	-8.49110170087241	1.0932223870877e-08	2.19128906108475e-06	10.0869862176076	GSE36803
hsa-miR-222	-1.73168986953865	11.0749688905535	-8.255872962184	1.81736683050879e-08	2.71306362002861e-06	9.5930920103667	GSE36803
hsa-miR-125a-5p	-1.02061098035739	11.4147277747221	-7.67470670669205	6.58437866267341e-08	4.7645295600734e-06	8.33891183143705	GSE36803
hsa-miR-27b	-0.874673196584858	11.5960300917296	-6.91188542546934	3.81628664793868e-07	1.56969895545478e-05	6.62113903555196	GSE36803
hsa-miR-221-star	-1.6895422249004	5.18876513002145	-6.89765149386259	3.94628498269874e-07	1.6146710544393e-05	6.58834489303129	GSE36803
hsa-miR-133a	-1.92516534297648	8.49253394911583	-6.74835067324006	5.61610969754101e-07	2.08008991878118e-05	6.24280069996736	GSE36803
hsa-miR-139-5p	-1.45787401922343	5.80960145777562	-6.67620586351171	6.66672927333347e-07	2.34150113195157e-05	6.07481977672609	GSE36803
hsa-miR-152	-1.11860794689598	8.60182612214508	-6.64190328521392	7.23469686904165e-07	2.44758251218876e-05	5.99472390500837	GSE36803
hsa-miR-143-star	-1.69034396250153	6.95415885179013	-6.62283029383762	7.57163835616986e-07	2.5287330663875e-05	5.95012634947198	GSE36803
hsa-miR-145	-0.72497930142594	13.959767952854	-6.52288426155572	9.61818823906526e-07	3.06800575870592e-05	5.71570574865487	GSE36803
hsa-miR-133b	-1.65817188887344	8.68509288852608	-6.35773689192804	1.43182379527796e-06	4.01064622225708e-05	5.32576931215214	GSE36803
hsa-miR-505	-1.1783351057358	5.10303329702561	-6.28561444983679	1.70520018862725e-06	4.39806583304356e-05	5.15449948116265	GSE36803
hsa-miR-455-5p	-1.80824913031114	3.98915256357105	-6.23618789429938	1.92276378152642e-06	4.8007664385396e-05	5.03679298753064	GSE36803
hsa-miR-25	0.897030020369533	8.98407285536074	6.20474045121999	2.07571153769536e-06	5.08516792071762e-05	4.96176441982465	GSE36803
hsa-miR-181c	-1.05310288687881	7.16073989399743	-6.07406468444237	2.85620364626182e-06	6.41414698147591e-05	4.64887256076986	GSE36803
hsa-miR-205	-3.47523356765842	11.0691781948585	-6.05962871705618	2.95904002245638e-06	6.56957323167518e-05	4.61419882740657	GSE36803
hsa-miR-886-3p	-0.966811671521782	9.61147791405354	-6.03096104461824	3.17456691421125e-06	6.92995542864829e-05	4.54527989107249	GSE36803
