ID	Target
hsa-miR-27b-3p	EYA1
hsa-miR-23b-3p	EYA1
hsa-miR-30e-3p	EYA1
hsa-miR-30a-3p	EYA1
hsa-miR-29a-3p	FGA
hsa-miR-125b-5p	GDNF
hsa-miR-939-5p	GDNF
hsa-miR-361-3p	HBB
hsa-miR-671-5p	HEXA
hsa-miR-30a-3p	HOXA13
hsa-miR-30c-5p	HOXA13
hsa-miR-30e-3p	HOXA13
hsa-miR-27b-3p	HOXA13
hsa-miR-1224-5p	HOXD13
hsa-miR-26a-5p	HOXD13
hsa-miR-193b-3p	HOXD13
hsa-miR-92b-5p	HTR1A
hsa-miR-106a-5p	LDLR
hsa-miR-107	MC2R
hsa-miR-580-3p	MPZ
hsa-miR-26a-5p	PLP1
hsa-miR-384	PLP1
hsa-miR-3074-3p	PLP1
hsa-miR-29a-3p	PLP1
hsa-miR-29a-3p	RFXAP
hsa-miR-27b-3p	RFXAP
hsa-miR-384	RFXAP
hsa-miR-580-3p	RFXAP
hsa-miR-939-5p	RHO
hsa-miR-1976	SFTPB
hsa-miR-107	SMPD1
hsa-miR-518c-5p	TAP2
hsa-miR-384	TAP2
hsa-miR-125b-5p	TAP2
hsa-miR-486-3p	HNF1A
hsa-miR-365a-3p	TYRP1
hsa-miR-29a-3p	VHL
hsa-miR-221-3p	CRX
hsa-miR-222-3p	CRX
hsa-miR-32-5p	DCX
hsa-miR-30c-5p	DCX
hsa-miR-27b-3p	DCX
hsa-miR-125b-5p	DCX
hsa-miR-29a-3p	DCX
hsa-miR-30e-3p	DCX
hsa-miR-30a-3p	DCX
hsa-miR-939-5p	DCX
hsa-miR-10b-5p	IL5RA
hsa-miR-23b-3p	IL6R
hsa-miR-125b-5p	IL6R
hsa-miR-361-3p	IL6R
hsa-miR-518c-5p	CRP
hsa-miR-518c-5p	CD55
hsa-miR-30c-5p	IL1A
hsa-miR-30e-3p	IL1B
hsa-miR-30a-3p	IL1B
hsa-miR-106a-5p	SLC11A1
hsa-miR-939-5p	SLC11A1
hsa-miR-367-5p	CCR5
hsa-miR-125b-5p	CCR5
hsa-miR-140-3p	CXCL8
hsa-miR-26a-5p	TAP1
hsa-miR-361-3p	TNF
hsa-miR-939-5p	TNF
hsa-miR-939-5p	LTA
hsa-miR-1976	IGFBP5
hsa-miR-193b-3p	IGFBP5
hsa-miR-939-5p	IGFBP5
hsa-miR-140-3p	HGF
hsa-miR-580-3p	HGF
hsa-miR-27b-3p	HGF
hsa-miR-30a-3p	HGF
hsa-miR-26a-5p	HGF
hsa-miR-30e-3p	HGF
hsa-miR-30e-3p	SERPINE1
hsa-miR-324-3p	SERPINE1
hsa-miR-30c-5p	SERPINE1
hsa-miR-30a-3p	SERPINE1
hsa-miR-23b-3p	CXCL12
hsa-miR-222-3p	CXCL12
hsa-miR-221-3p	CXCL12
hsa-miR-30a-3p	CD59
hsa-miR-30e-3p	CD59
hsa-miR-193a-5p	IGF2
hsa-miR-939-5p	IGF2
hsa-miR-27b-3p	NCAM1
hsa-miR-30c-5p	NCAM1
hsa-miR-384	NCAM1
hsa-miR-222-3p	CD4
hsa-miR-486-3p	CD4
hsa-miR-221-3p	CD4
hsa-miR-939-5p	CD4
hsa-miR-32-5p	SLC11A2
hsa-miR-29a-3p	IGF1
hsa-miR-30e-3p	IGF1
hsa-miR-30a-3p	IGF1
hsa-miR-505-3p	IFNG
hsa-miR-335-5p	NOS1
hsa-miR-324-3p	NOS1
hsa-miR-1224-5p	NOS1
hsa-miR-486-3p	NOS1
hsa-miR-107	NOS1
hsa-miR-193a-5p	NOS1
hsa-miR-106a-5p	HTR2A
hsa-miR-23b-3p	HTR2A
hsa-miR-365a-3p	SERPINA5
hsa-miR-939-5p	NOS2
hsa-miR-361-3p	CD79B
hsa-miR-26a-5p	LTBP1
hsa-miR-107	IL10RB
hsa-miR-671-5p	IFNAR1
hsa-miR-107	IFNAR1
hsa-miR-324-3p	IFNAR1
hsa-miR-27b-3p	IFNAR1
hsa-miR-193b-3p	IFNAR1
hsa-miR-140-3p	IFNAR1
hsa-miR-125b-2-3p	IFNAR1
hsa-miR-486-3p	BCL2
hsa-miR-125b-5p	BCL2
hsa-miR-140-3p	BCL2
hsa-miR-324-3p	BCL2
hsa-miR-365a-3p	BCL2
hsa-miR-95-3p	CXCR1
hsa-miR-30c-5p	RFX2
hsa-miR-30e-3p	SOD2
hsa-miR-221-3p	SOD2
hsa-miR-30a-3p	SOD2
hsa-miR-222-3p	SOD2
hsa-miR-26a-5p	GSR
hsa-miR-32-5p	FASLG
hsa-miR-505-3p	IL11
hsa-miR-361-3p	TGFB1
hsa-miR-125b-2-3p	RPL9
hsa-miR-32-5p	RPL9
hsa-miR-29a-3p	NAT1
hsa-miR-27b-3p	ABAT
hsa-miR-365a-3p	ABAT
hsa-miR-671-5p	ACY1
hsa-miR-23b-3p	ADH4
hsa-miR-30e-3p	ADH7
hsa-miR-30a-3p	ADH7
hsa-miR-27b-3p	ADORA1
hsa-miR-27b-3p	ADORA2B
hsa-miR-939-5p	ADORA3
hsa-miR-486-3p	ADRA1D
hsa-miR-30c-5p	ADRA1D
hsa-miR-23b-3p	ADRA2A
hsa-miR-30c-5p	ADRA2A
hsa-miR-939-5p	ADRA2B
hsa-miR-193b-3p	ADRA2B
hsa-miR-32-5p	ADRB1
hsa-miR-518c-5p	ADRB1
hsa-miR-30c-5p	ADRB1
hsa-miR-3074-3p	AGTR2
hsa-miR-23b-3p	ALAS1
hsa-miR-30c-5p	ALDH2
hsa-miR-361-3p	NA
hsa-miR-486-3p	NA
hsa-miR-30a-3p	ALDH9A1
hsa-miR-30e-3p	ALDH9A1
hsa-miR-193b-3p	ALOX5
hsa-miR-30a-3p	ANXA1
hsa-miR-30e-3p	ANXA1
hsa-miR-384	ANXA1
hsa-miR-106a-5p	ATP1A2
hsa-miR-27b-3p	ATP1A2
hsa-miR-26a-5p	ATP1A2
hsa-miR-671-5p	ATP1A2
hsa-miR-3074-3p	AVPR1A
hsa-miR-486-3p	AVPR1B
hsa-miR-140-3p	CACNA1B
hsa-miR-3074-3p	CACNA1B
hsa-miR-29a-3p	CACNA1C
hsa-miR-107	CACNA1C
hsa-miR-671-5p	CACNA1C
hsa-miR-30c-5p	CACNA1C
hsa-miR-26a-5p	CACNA1C
hsa-miR-1976	CACNA1C
hsa-miR-361-3p	CACNA1C
hsa-miR-365a-3p	CACNA1C
hsa-miR-30c-5p	CACNA1D
hsa-miR-107	CACNA1E
hsa-miR-30e-3p	CACNA1E
hsa-miR-30a-3p	CACNA1E
hsa-miR-107	CACNA2D1
hsa-miR-125b-5p	CACNB1
hsa-miR-30c-5p	CACNB2
hsa-miR-26a-5p	CACNB2
hsa-miR-518c-5p	CACNB2
hsa-miR-486-3p	CACNB3
hsa-miR-125b-5p	CACNB3
hsa-miR-30c-5p	CACNB4
hsa-miR-30e-3p	CACNB4
hsa-miR-222-3p	CACNB4
