miR_ID	circbase_ID
hsa-miR-193b-5p	hsa_circ_0060539
hsa-miR-22-5p	hsa_circ_0063089
hsa-miR-2277-5p	hsa_circ_0055954
hsa-miR-3131	hsa_circ_0086684
hsa-miR-3147	hsa_circ_0036766
hsa-miR-329-5p	hsa_circ_0006868
hsa-miR-3619-5p	hsa_circ_0017726
hsa-miR-412-3p	hsa_circ_0004650
hsa-miR-4498	hsa_circ_0086684
hsa-miR-4673	hsa_circ_0034642
hsa-miR-4674	hsa_circ_0062603
hsa-miR-4679	hsa_circ_0015270
hsa-miR-4701-3p	hsa_circ_0008323
hsa-miR-4726-5p	hsa_circ_0063526
hsa-miR-4739	hsa_circ_0004650
hsa-miR-4769-5p	hsa_circ_0018242
hsa-miR-4778-3p	hsa_circ_0036188
hsa-miR-488-3p	hsa_circ_0001348
hsa-miR-5000-5p	hsa_circ_0009654
hsa-miR-582-3p	hsa_circ_0086684
hsa-miR-6165	hsa_circ_0009654
hsa-miR-6721-5p	hsa_circ_0062603
hsa-miR-6734-5p	hsa_circ_0001756
hsa-miR-6741-3p	hsa_circ_0060539
hsa-miR-6744-3p	hsa_circ_0034642
hsa-miR-6756-5p	hsa_circ_0089153
hsa-miR-6783-5p	hsa_circ_0008323
hsa-miR-6797-5p	hsa_circ_0086684
hsa-miR-6811-3p	hsa_circ_0004650
hsa-miR-6825-5p	hsa_circ_0001190
hsa-miR-6825-5p	hsa_circ_0006913
hsa-miR-6856-5p	hsa_circ_0086684
hsa-miR-6874-3p	hsa_circ_0015270
hsa-miR-6878-5p	hsa_circ_0008323
hsa-miR-7153-5p	hsa_circ_0001756
hsa-miR-760	hsa_circ_0086684
hsa-miR-762	hsa_circ_0034642
hsa-miR-942-5p	hsa_circ_0062603
hsa-miR-9-5p	hsa_circ_0076700
hsa-let-7e-5p	hsa_circ_0008323
hsa-miR-1301-3p	hsa_circ_0062603
hsa-miR-194-3p	hsa_circ_0086684
hsa-miR-205-5p	hsa_circ_0002807
hsa-miR-214-5p	hsa_circ_0004650
hsa-miR-330-3p	hsa_circ_0008323
hsa-miR-3664-3p	hsa_circ_0009654
hsa-miR-3916	hsa_circ_0004650
hsa-miR-4517	hsa_circ_0000204
hsa-miR-452-3p	hsa_circ_0008323
hsa-miR-4533	hsa_circ_0086684
hsa-miR-4691-5p	hsa_circ_0034642
hsa-miR-5001-5p	hsa_circ_0016121
hsa-miR-5196-5p	hsa_circ_0060539
hsa-miR-548ay-5p	hsa_circ_0000567
hsa-miR-548j-5p	hsa_circ_0000567
hsa-miR-6086	hsa_circ_0089153
hsa-miR-6736-3p	hsa_circ_0034642
hsa-miR-6783-3p	hsa_circ_0041871
hsa-miR-6797-5p	hsa_circ_0008323
hsa-miR-6803-5p	hsa_circ_0086684
hsa-miR-6813-5p	hsa_circ_0036188
hsa-miR-6819-5p	hsa_circ_0041871
hsa-miR-6833-3p	hsa_circ_0063089
hsa-miR-6886-3p	hsa_circ_0000861
hsa-miR-1270	hsa_circ_0007178
hsa-miR-1303	hsa_circ_0008323
hsa-miR-147b	hsa_circ_0063089
hsa-miR-1827	hsa_circ_0004650
hsa-miR-1909-3p	hsa_circ_0086684
hsa-miR-1915-5p	hsa_circ_0036766
hsa-miR-20a-5p	hsa_circ_0008323
hsa-miR-24-3p	hsa_circ_0063089
hsa-miR-3137	hsa_circ_0034642
hsa-miR-3141	hsa_circ_0063089
hsa-miR-3143	hsa_circ_0008323
hsa-miR-3151-5p	hsa_circ_0008323
hsa-miR-3180-3p	hsa_circ_0071649
hsa-miR-3202	hsa_circ_0060539
hsa-miR-34c-5p	hsa_circ_0001847
hsa-miR-34c-5p	hsa_circ_0003945
hsa-miR-3620-5p	hsa_circ_0034642
hsa-miR-4478	hsa_circ_0006913
hsa-miR-4651	hsa_circ_0089153
hsa-miR-4663	hsa_circ_0063526
hsa-miR-4722-5p	hsa_circ_0086684
hsa-miR-4723-5p	hsa_circ_0001190
hsa-miR-4773	hsa_circ_0008584
hsa-miR-4778-3p	hsa_circ_0061346
hsa-miR-5092	hsa_circ_0036188
hsa-miR-509-3-5p	hsa_circ_0086684
hsa-miR-548as-5p	hsa_circ_0000567
hsa-miR-627-3p	hsa_circ_0001348
hsa-miR-646	hsa_circ_0016760
hsa-miR-6735-3p	hsa_circ_0034642
hsa-miR-6745	hsa_circ_0034642
hsa-miR-6780b-5p	hsa_circ_0076700
hsa-miR-6787-3p	hsa_circ_0063526
hsa-miR-6831-5p	hsa_circ_0034642
hsa-miR-6840-3p	hsa_circ_0034642
hsa-miR-6850-5p	hsa_circ_0063089
hsa-miR-6858-3p	hsa_circ_0063089
hsa-miR-7154-5p	hsa_circ_0004650
hsa-miR-942-5p	hsa_circ_0000038
hsa-miR-103a-2-5p	hsa_circ_0015270
hsa-miR-1184	hsa_circ_0085918
hsa-miR-1238-3p	hsa_circ_0075320
hsa-miR-1255b-2-3p	hsa_circ_0004650
hsa-miR-1270	hsa_circ_0008323
hsa-miR-2276-5p	hsa_circ_0034642
hsa-miR-2861	hsa_circ_0017726
hsa-miR-3167	hsa_circ_0074598
hsa-miR-3194-3p	hsa_circ_0062603
hsa-miR-370-3p	hsa_circ_0004650
hsa-miR-3911	hsa_circ_0001726
hsa-miR-3934-5p	hsa_circ_0008323
hsa-miR-412-3p	hsa_circ_0034642
hsa-miR-424-5p	hsa_circ_0063089
hsa-miR-4437	hsa_circ_0062603
