source	target
hsa_circ_0060539	hsa-miR-518c-5p
hsa-miR-518c-5p	FADS1
hsa-miR-518c-5p	NFIC
hsa-miR-518c-5p	BHLHE40
hsa-miR-518c-5p	TANGO6
hsa-miR-518c-5p	DSC3
hsa-miR-518c-5p	DFFA
hsa-miR-518c-5p	ARSB
hsa-miR-518c-5p	SEC23A
hsa-miR-518c-5p	DDX19A
hsa-miR-518c-5p	CDCP1
hsa-miR-518c-5p	ETS1
hsa-miR-518c-5p	SLC22A3
hsa_circ_0075320	hsa-miR-518c-5p
hsa_circ_0000500	hsa-miR-518c-5p
