MIMAT0018194	hsa-miR-3150b;hsa-miR-3150b-3p;
MI0014177	hsa-mir-3150;hsa-mir-3150a;
MIMAT0015023	hsa-miR-3150;hsa-miR-3150a-3p;
MIMAT0015024	hsa-miR-3151;hsa-miR-3151-5p;
MIMAT0015025	hsa-miR-3152;hsa-miR-3152-3p;
MI0014183	hsa-mir-3155;hsa-mir-3155a;
MIMAT0015029	hsa-miR-3155;hsa-miR-3155a;
MIMAT0015030	hsa-miR-3156;hsa-miR-3156-5p;
MIMAT0015031	hsa-miR-3157;hsa-miR-3157-5p;
MIMAT0015032	hsa-miR-3158;hsa-miR-3158-3p;
MIMAT0015034	hsa-miR-3160;hsa-miR-3160-3p;
