ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-XK-AAK1-01	-1192.9	-915.57	-2108.47
TCGA-XQ-A8TA-01	-1918.71	-1854.63	-3773.34
TCGA-XQ-A8TB-01	-177.47	-957.71	-1135.18
TCGA-Y6-A8TL-01	-753.97	-1154.47	-1908.43
TCGA-Y6-A9XI-01	-1178.13	-1181.21	-2359.34
TCGA-YJ-A8SW-01	-971.37	-1362.6	-2333.97
TCGA-YL-A8HJ-01	455.43	-113.99	341.44
TCGA-YL-A8HK-01	-316.1	-633.7	-949.8
TCGA-YL-A8HL-01	-1170.42	-1419.83	-2590.26
TCGA-YL-A8HM-01	-680.38	-196.24	-876.62
TCGA-YL-A8HO-01	335.94	343.9	679.84
TCGA-YL-A8S8-01	-360.98	-1038.14	-1399.12
TCGA-YL-A8S9-01	-1638.91	-1610.07	-3248.98
TCGA-YL-A8SA-01	-1501.33	-1215.51	-2716.84
TCGA-YL-A8SB-01	-117.11	-748.15	-865.26
TCGA-YL-A8SC-01	-498.51	-277.98	-776.48
TCGA-YL-A8SF-01	73	-836.09	-763.09
