Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
KRTCAP2	1.04561958709161	1.02344561276805	7.26773028756783	1.24718537399179e-12	8.20629261622248e-12	18.1557915448748
CXCR1	-1.70952515491619	-2.78054962871703	-7.07359594359343	4.56649469507339e-12	2.80477348004558e-11	16.9388753672262
ARPC2	-0.348601238504539	7.75466152434357	-8.29220818169937	8.43391171101729e-16	8.08996624905236e-15	24.8075731098177
TSACC	1.30630089504278	-0.359059074247247	9.18125074793973	8.38476291726648e-19	1.14514036816683e-17	31.9593312856144
CCT3	0.481719969345868	8.80442225605669	7.39027717940377	5.41893388285304e-13	3.70248582157316e-12	18.468650520096
SSR2	0.497792046124033	8.34555876263578	5.93062358879136	5.30998840715994e-09	2.17247709640485e-08	9.4576797149196
STK36	0.582575712377784	5.4042417294681	8.01617668410248	6.481500653485e-15	5.62004696493565e-14	22.8203165416163
FEV	2.077605831432	3.88902146964095	5.23962786674732	2.28888943953031e-07	7.50413472324516e-07	6.28883754198923
CRYBA2	1.67503569237503	0.341977763184968	7.16650462713612	2.4623204802713e-12	1.55276686475454e-11	17.5295900241746
CWC22	-0.298047945036825	5.13479365263404	-6.70770265442074	4.88182759876424e-11	2.59588909734202e-10	14.0235140566658
AZI2	-0.149871433721279	4.37192914014559	-2.48921952370196	0.013094162007714	0.0206459639310019	-4.41084514521726
TGFBR2	-0.89440620182095	6.52742430598588	-7.1972280915478	2.00460990791091e-12	1.28190627340261e-11	17.1333685835338
ANKZF1	0.737775980987363	5.91211356879762	8.98558577882756	4.01239338599337e-18	5.0892733464077e-17	30.071571448198
FBLN2	-0.441475561204286	5.85952985790451	-2.6182738455068	0.00907888275659552	0.0147194668540182	-4.22162602043654
GLB1L	-0.198367708645066	4.13424001267137	-2.77733206328101	0.00566597340908058	0.00949977079293887	-3.62754239751329
STT3B	-0.224898105499783	8.05888518565346	-4.09116976893454	4.928351104385e-05	0.000114646257786357	0.675884691047383
SGO2	0.41031301350563	2.37473766707342	3.86559150985331	0.000123927527414197	0.000271275125974596	0.308151844034978
SUCLG1	-0.20676726028079	6.73651627042914	-4.1940154384287	3.18973359302176e-05	7.6267865735387e-05	1.02959730049713
NUAK2	0.409491516477489	3.26445642313489	3.08837657807015	0.0021131634478223	0.00381157937598974	-2.46758511714323
MNDA	-0.463180398359955	1.81393766585879	-3.2931382455309	0.00105382376118424	0.00199649320740907	-1.69880426396148
PYHIN1	-0.413773237573273	-0.188388394243091	-2.2842832022847	0.0227315342017852	0.0342745642796903	-4.21671359868599
