Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PHF15	-1.29468878546101	4.82412444736608	-4.93731405801328	0.00113947332426234	0.0177055772416235	-0.972630730845477
ENO1	-0.717329926350036	13.3682655119307	-4.93157142166859	0.00114773795707939	0.0177447226674408	-0.980337936378452
C1orf86	-0.663818321835175	7.82630674054075	-4.93392622552093	0.00114434111069137	0.0177447226674408	-0.977176963896206
C2orf34	1.07284006753139	5.57007136924713	4.93217590194291	0.0011468649355358	0.0177447226674408	-0.979526434332045
TUBB2C	-0.394091376475497	11.0362409637511	-4.93291721034666	0.00114579528844167	0.0177447226674408	-0.978531316531991
RAP1A	-1.32672144983064	3.89552313671512	-4.93093945887007	0.0011486514454188	0.0177447226674408	-0.981186390413476
LOC92755	-0.547960098251579	6.49054740934873	-4.93203826850866	0.00114706364912587	0.0177447226674408	-0.979711199610891
SEPT9	-0.426378297557447	11.3633955708621	-4.92821841289259	0.00115259372574555	0.0177884373368201	-0.984840252798266
SERAC1	-1.45143525817315	3.72376991501834	-4.9245958112194	0.00115786510871514	0.0178525604852907	-0.989706422624892
MRPL45	0.472665000848317	8.14788641756334	4.91988466818831	0.00116475983917288	0.0179070625658992	-0.996037686849164
SYNE2	0.838768738404736	6.64435090691086	4.92038013857344	0.0011640326185187	0.0179070625658992	-0.995371675378835
MCCC2	-2.22838654946541	9.14384681357826	-4.90905043311405	0.00118078617122266	0.01812051635863	-1.01061006816447
SNORD57	0.951807401168776	4.75276208275076	4.90896700900452	0.00118091050382716	0.01812051635863	-1.01072234294316
RRM2B	0.764220793153559	7.65362812384578	4.90547681827933	0.0011861249855556	0.0181830799559429	-1.01542046528553
GLRX2	0.666529794047955	6.78859718302058	4.89688090748099	0.00119907499043025	0.0182957266468966	-1.02699897965912
TDRKH	1.15028964054897	4.56493108148193	4.89912524438657	0.00119567902258156	0.0182957266468966	-1.02397485911075
DEPDC6	1.19113230921676	6.05713257099986	4.89693227952055	0.00119899714048819	0.0182957266468966	-1.02692975040194
NIT2	0.565553173037946	8.97073771856437	4.89791697313887	0.00119750598601304	0.0182957266468966	-1.02560284638943
MTHFD2	0.465539589741347	8.9056615643991	4.89595152715655	0.00120048433914414	0.0182979448032179	-1.02825148477532
WSB1	-0.660684159183225	9.06112709482726	-4.89482169536807	0.00120220009316144	0.0183066450376746	-1.02977430442137
CLDN12	-0.465946722759799	9.51679197684525	-4.89292115272942	0.00120509227711006	0.0183332258979189	-1.03233633246043
LOC441763	1.42482351730893	7.32444927136359	4.88780283444692	0.00121291895858439	0.0184173101514449	-1.03923871929477
